Country,Spp1,Spp2,FamCovSimple,FamCov,TempActCovSimple,TempActCov,MeanBodySize,logMeanBodySize,BodySizeSimple,BodySize,DietCovSimple,DietCov,SocialityCov,SIF,sd,logSIF,Climate,NumSpecies
Nepal,HEUR,CAAU,FamDifferent,C/H,TempDifferent,Di/No,5.5,1.7047,BodySizeDifferent,S/ML,DietDifferent,Carnivore/Omnivore,Solitary/Group,1.501,1.257,0.406,warmtemperate,7
Nepal,PAPAF,CAAU,FamDifferent,C/F,TempDifferent,Di/No,9.0909,2.2073,BodySizeDifferent,ML/L,DietDifferent,Carnivore/Omnivore,Solitary/Group,0.859,0.304,-0.152,warmtemperate,7
Nepal,PATIT,CAAU,FamDifferent,C/F,TempSame,No/No,22.7273,3.1236,BodySizeDifferent,ML/L,DietDifferent,Carnivore/Omnivore,Solitary/Group,1.192,0.349,0.176,warmtemperate,7
Nepal,PRBE,CAAU,FamDifferent,C/F,TempSame,No/No,4.4,1.4816,BodySizeDifferent,SM/ML,DietDifferent,Carnivore/Omnivore,Solitary/Group,1.36,0.618,0.307,warmtemperate,7
Nepal,VIIN,CAAU,FamDifferent,C/V,TempSame,No/No,2.2,0.7885,BodySizeDifferent,SM/ML,DietSame,Omnivore/Omnivore,Solitary/Group,2.793,1.179,1.027,warmtemperate,7
Nepal,VIZI,CAAU,FamDifferent,C/V,TempSame,No/No,1.5714,0.452,BodySizeSame,ML/ML,DietSame,Omnivore/Omnivore,Solitary/Group,2.223,0.708,0.799,warmtemperate,7
Nepal,PAPAF,HEUR,FamDifferent,F/H,TempSame,Di/Di,50,3.912,BodySizeDifferent,S/L,DietSame,Carnivore/Carnivore,Solitary/Solitary,0.569,0.297,-0.564,warmtemperate,7
Nepal,PATIT,HEUR,FamDifferent,F/H,TempDifferent,Di/No,125,4.8283,BodySizeDifferent,S/L,DietSame,Carnivore/Carnivore,Solitary/Solitary,0.553,0.308,-0.592,warmtemperate,7
Nepal,PRBE,HEUR,FamDifferent,F/H,TempDifferent,Di/No,1.25,0.2231,BodySizeDifferent,S/SM,DietSame,Carnivore/Carnivore,Solitary/Solitary,1.28,0.562,0.247,warmtemperate,7
Nepal,VIIN,HEUR,FamDifferent,H/P,TempDifferent,Di/No,2.5,0.9163,BodySizeDifferent,S/SM,DietDifferent,Carnivore/Omnivore,Solitary/Solitary,1.617,0.903,0.481,warmtemperate,7
Nepal,VIZI,HEUR,FamDifferent,H/P,TempDifferent,Di/No,3.5,1.2528,BodySizeDifferent,S/ML,DietDifferent,Carnivore/Omnivore,Solitary/Solitary,1.978,0.663,0.682,warmtemperate,7
Nepal,PATIT,PAPAF,FamSame,F/F,TempDifferent,Di/No,2.5,0.9163,BodySizeSame,L/L,DietSame,Carnivore/Carnivore,Solitary/Solitary,1.046,0.128,0.045,warmtemperate,7
Nepal,PRBE,PAPAF,FamSame,F/F,TempDifferent,Di/No,40,3.6889,BodySizeDifferent,SM/L,DietSame,Carnivore/Carnivore,Solitary/Solitary,1.202,0.198,0.184,warmtemperate,7
Nepal,VIIN,PAPAF,FamDifferent,F/V,TempDifferent,Di/No,20,2.9957,BodySizeDifferent,SM/L,DietDifferent,Carnivore/Omnivore,Solitary/Solitary,0.862,0.261,-0.148,warmtemperate,7
Nepal,VIZI,PAPAF,FamDifferent,F/V,TempDifferent,Di/No,14.2857,2.6593,BodySizeDifferent,ML/L,DietDifferent,Carnivore/Omnivore,Solitary/Solitary,0.964,0.199,-0.036,warmtemperate,7
Nepal,PRBE,PATIT,FamSame,F/F,TempSame,No/No,100,4.6052,BodySizeDifferent,SM/L,DietSame,Carnivore/Carnivore,Solitary/Solitary,1.038,0.197,0.037,warmtemperate,7
Nepal,VIIN,PATIT,FamDifferent,F/V,TempSame,No/No,50,3.912,BodySizeDifferent,SM/L,DietDifferent,Carnivore/Omnivore,Solitary/Solitary,1.335,0.267,0.289,warmtemperate,7
Nepal,VIZI,PATIT,FamDifferent,F/V,TempSame,No/No,35.7143,3.5756,BodySizeDifferent,ML/L,DietDifferent,Carnivore/Omnivore,Solitary/Solitary,1.466,0.215,0.383,warmtemperate,7
Nepal,VIIN,PRBE,FamDifferent,F/V,TempSame,No/No,2,0.6931,BodySizeSame,SM/SM,DietDifferent,Carnivore/Omnivore,Solitary/Solitary,1.272,0.465,0.241,warmtemperate,7
Nepal,VIZI,PRBE,FamDifferent,F/V,TempSame,No/No,2.8,1.0296,BodySizeDifferent,SM/ML,DietDifferent,Carnivore/Omnivore,Solitary/Solitary,1.456,0.383,0.376,warmtemperate,7
Nepal,VIZI,VIIN,FamSame,V/V,TempSame,No/No,1.4,0.3365,BodySizeDifferent,SM/ML,DietSame,Omnivore/Omnivore,Solitary/Solitary,0.911,0.417,-0.093,warmtemperate,7
